Contador	Resultado medio	Desviación	Tiempo	Tiempo Sys	N. Ejecuciones

PAPI_L1_DCM	572484,812500	14,756699	1,54s	0,88s	20
N. Ejecución	Resultado
1	572464
2	572460
3	572473
4	572459
5	572497
6	572489
7	572489
8	572497
9	572491
10	572502
11	572480
12	572497
13	572498
14	572504
15	572480
16	572507
17	572489
18	572479
19	572462
20	572479

PAPI_L2_DCM	596320,062500	60,495850	1,51s	0,88s	20
N. Ejecución	Resultado
1	596334
2	596355
3	596435
4	596272
5	596294
6	596342
7	596361
8	596390
9	596326
10	596343
11	596273
12	596171
13	596320
14	596334
15	596369
16	596320
17	596353
18	596299
19	596329
20	596181

