Contador	Resultado medio	Desviación	Tiempo	Tiempo Sys	N. Ejecuciones

PAPI_L1_DCM	161396,906250	107,757553	0,91s	0,73s	20
N. Ejecución	Resultado
1	161248
2	161309
3	161341
4	161373
5	161582
6	161562
7	161534
8	161373
9	161581
10	161285
11	161482
12	161538
13	161420
14	161329
15	161395
16	161352
17	161250
18	161329
19	161352
20	161303

PAPI_L2_DCM	171425,406250	48,313972	0,91s	0,76s	20
N. Ejecución	Resultado
1	171387
2	171397
3	171416
4	171387
5	171475
6	171465
7	171426
8	171463
9	171374
10	171519
11	171447
12	171325
13	171489
14	171373
15	171411
16	171486
17	171407
18	171471
19	171411
20	171379

