Contador	Resultado medio	Desviación	Tiempo	Tiempo Sys	N. Ejecuciones

PAPI_L1_DCM	6000655,000000	39,632690	1,85s	0,88s	20
N. Ejecución	Resultado
1	6000565
2	6000588
3	6000667
4	6000637
5	6000624
6	6000690
7	6000670
8	6000639
9	6000679
10	6000734
11	6000647
12	6000673
13	6000668
14	6000681
15	6000609
16	6000683
17	6000649
18	6000676
19	6000613
20	6000705

PAPI_L2_DCM	568457,937500	145,198303	1,84s	0,87s	20
N. Ejecución	Resultado
1	568527
2	568477
3	568544
4	568532
5	568341
6	568407
7	568454
8	568983
9	568424
10	568425
11	568450
12	568432
13	568194
14	568307
15	568431
16	568384
17	568408
18	568487
19	568421
20	568531

