Contador	Resultado medio	Desviación	Tiempo	Tiempo Sys	N. Ejecuciones

PAPI_L1_DCM	5745743,500000	314,991974	1,68s	0,72s	20
N. Ejecución	Resultado
1	5745411
2	5745433
3	5745733
4	5745430
5	5745653
6	5745711
7	5746226
8	5746202
9	5745743
10	5746086
11	5746340
12	5745616
13	5745477
14	5745678
15	5746357
16	5745574
17	5745316
18	5745770
19	5745543
20	5745561

PAPI_L2_DCM	1432746,250000	8645,872070	1,70s	0,73s	20
N. Ejecución	Resultado
1	1416415
2	1436680
3	1436988
4	1433667
5	1432141
6	1431461
7	1437157
8	1437183
9	1437718
10	1438128
11	1434661
12	1435032
13	1436244
14	1436019
15	1435798
16	1400978
17	1436308
18	1430005
19	1434568
20	1437773

