Contador	Resultado medio	Desviación	Tiempo	Tiempo Sys	N. Ejecuciones

PAPI_L1_DCM	9077896,000000	1962,848755	2,54s	0,89s	20
N. Ejecución	Resultado
1	9076611
2	9075895
3	9076454
4	9078247
5	9076185
6	9079547
7	9080619
8	9075878
9	9078468
10	9076166
11	9075831
12	9080210
13	9075922
14	9076324
15	9081888
16	9080572
17	9077915
18	9076119
19	9078805
20	9080277

PAPI_L2_DCM	660742,375000	4461,319336	2,54s	0,93s	20
N. Ejecución	Resultado
1	662920
2	664028
3	665785
4	668696
5	661929
6	662914
7	666124
8	660599
9	668613
10	658305
11	655693
12	655105
13	661484
14	656517
15	660318
16	659716
17	658245
18	658304
19	658686
20	650867

