Contador	Resultado medio	Desviación	Tiempo	Tiempo Sys	N. Ejecuciones

PAPI_L1_DCM	254985,453125	283,286346	1,63s	0,91s	20
N. Ejecución	Resultado
1	255084
2	255065
3	254841
4	254963
5	254821
6	255076
7	254828
8	254818
9	255731
10	254843
11	255444
12	255474
13	254998
14	254509
15	254633
16	255075
17	255029
18	254917
19	254735
20	254825

PAPI_L2_DCM	268387,156250	102,001114	1,64s	0,89s	20
N. Ejecución	Resultado
1	268449
2	268479
3	268397
4	268222
5	268465
6	268260
7	268438
8	268402
9	268242
10	268446
11	268216
12	268456
13	268499
14	268403
15	268178
16	268503
17	268485
18	268367
19	268379
20	268457

