Contador	Resultado medio	Desviación	Tiempo	Tiempo Sys	N. Ejecuciones

PAPI_L1_DCM	760259,375000	293,623627	0,39s	0,21s	20
N. Ejecución	Resultado
1	760283
2	760444
3	760141
4	760063
5	760010
6	760693
7	760100
8	760435
9	759703
10	760612
11	760145
12	760278
13	759685
14	760125
15	759924
16	760697
17	760587
18	760574
19	760417
20	760272

PAPI_L2_DCM	21190,000000	1323,468872	0,39s	0,20s	20
N. Ejecución	Resultado
1	24261
2	21331
3	21275
4	24330
5	21426
6	23621
7	21199
8	19889
9	20071
10	21101
11	20848
12	20817
13	20111
14	21015
15	20569
16	20179
17	21292
18	19827
19	20844
20	19794

