Contador	Resultado medio	Desviación	Tiempo	Tiempo Sys	N. Ejecuciones

PAPI_L1_DCM	24250276,000000	13094,655273	12,65s	3,17s	20
N. Ejecución	Resultado
1	24251763
2	24231292
3	24259469
4	24235479
5	24262633
6	24265282
7	24270348
8	24264832
9	24260012
10	24232485
11	24245000
12	24259876
13	24231917
14	24234566
15	24261850
16	24265902
17	24240401
18	24246818
19	24248107
20	24237500

PAPI_TOT_CYC	991440896,000000	9029927,000000	12,71s	3,14s	20
N. Ejecución	Resultado
1	986288214
2	987757885
3	982373360
4	989410111
5	990267450
6	995690411
7	995568265
8	984507650
9	989303696
10	994455750
11	994161467
12	988238663
13	997688873
14	1025638284
15	996243720
16	989418783
17	984497358
18	988093290
19	984680466
20	984534216

PAPI_L2_DCM	24386036,000000	227541,000000	12,87s	3,23s	20
N. Ejecución	Resultado
1	24356428
2	24457081
3	24498102
4	24498732
5	24498863
6	24492818
7	24485103
8	24514135
9	24398216
10	24480409
11	24486762
12	24414996
13	24426828
14	24471334
15	24497755
16	24457793
17	24435381
18	23708079
19	23719719
20	24422245

