Contador	Resultado medio	Desviación	Tiempo	Tiempo Sys	N. Ejecuciones

PAPI_L1_DCM	24794812,000000	6387,889648	10,84s	3,46s	20
N. Ejecución	Resultado
1	24797005
2	24788067
3	24792678
4	24802359
5	24801120
6	24809953
7	24790312
8	24789812
9	24793657
10	24787868
11	24803106
12	24796569
13	24784680
14	24791090
15	24793646
16	24792237
17	24798631
18	24792494
19	24787625
20	24803324

PAPI_TOT_CYC	481138880,000000	1341517,000000	7,72s	3,44s	20
N. Ejecución	Resultado
1	481558178
2	479997593
3	480053490
4	482492163
5	484509233
6	478799909
7	480047680
8	480380594
9	480928636
10	481730931
11	479884675
12	480765979
13	482070535
14	482258223
15	482809720
16	482751785
17	479500157
18	480823793
19	480450865
20	480963281

PAPI_L2_DCM	1048105,625000	1300,949585	7,71s	3,39s	20
N. Ejecución	Resultado
1	1045952
2	1046637
3	1049225
4	1048696
5	1047600
6	1046895
7	1049855
8	1047789
9	1047257
10	1049032
11	1047986
12	1046897
13	1046299
14	1047533
15	1048442
16	1049097
17	1049350
18	1049458
19	1051011
20	1047100

