Contador	Resultado medio	Desviación	Tiempo	Tiempo Sys	N. Ejecuciones

PAPI_L1_DCM	501775712,000000	62756,054688	291,18s	0,64s	5
N. Ejecución	Resultado
1	501812589
2	501682781
3	501869463
4	501746995
5	501766678

PAPI_TOT_CYC	115174162432,000000	58486192,000000	290,95s	0,49s	5
N. Ejecución	Resultado
1	115152405253
2	115098035833
3	115135519929
4	115245461712
5	115239413555

PAPI_L2_DCM	467617536,000000	12727504,000000	291,34s	0,54s	5
N. Ejecución	Resultado
1	483002279
2	455141234
3	482462126
4	454288388
5	463193706
