Contador	Resultado medio	Desviación	Tiempo	Tiempo Sys	N. Ejecuciones

PAPI_L1_DCM	82401168,000000	23978,699219	312,38s	0,63s	5
N. Ejecución	Resultado
1	82373277
2	82385490
3	82441881
4	82412322
5	82392848

PAPI_TOT_CYC	123792826368,000000	120840112,000000	312,65s	0,54s	5
N. Ejecución	Resultado
1	123680484232
2	123921174846
3	123956812642
4	123723225496
5	123682455181

PAPI_L2_DCM	3786920,000000	146683,515625	312,68s	0,50s	5
N. Ejecución	Resultado
1	3716669
2	3544888
3	3976769
4	3864382
5	3831893

